City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,tamanrasset,22.785,5.5228,296.06,19,100,0.16,DZ,1697936901
282,bougouni,11.417,-7.479,296.13,87,20,2.28,ML,1697936901
283,puerto baquerizo moreno,-0.9,-89.6,296.76,87,100,5.05,EC,1697936901
284,saint-philippe,-21.3585,55.7679,293.92,82,26,3.11,RE,1697936902
285,bethanie,-26.4833,17.15,289.0,33,0,0.66,,1697936902
286,pontarlier,46.8333,6.25,281.45,89,10,3.49,FR,1697936902
287,port elizabeth,-33.918,25.5701,287.31,83,0,3.6,ZA,1697936633
288,akureyri,65.6835,-18.0878,273.93,93,100,1.27,IS,1697936903
289,zouerate,22.7187,-12.4521,297.52,49,0,4.28,MR,1697936903
290,aljezur,37.3191,-8.8033,289.71,82,100,3.28,PT,1697936903
291,horki,54.2861,30.9842,277.77,85,100,6.21,BY,1697936904
292,half moon bay,37.4636,-122.4286,293.08,73,0,5.66,US,1697936904
293,aldinga beach,-35.2793,138.4604,291.35,52,16,6.78,AU,1697936904
294,nadym,65.5333,72.5167,271.29,85,93,8.61,RU,1697936904
295,vryburg,-26.9566,24.7284,287.72,67,0,2.73,ZA,1697936905
296,holbrook,40.8123,-73.0784,288.13,74,40,7.72,US,1697936644
297,degerfors,59.238,14.4308,276.42,97,100,4.51,SE,1697936905
298,portland,45.5234,-122.6762,289.0,94,100,1.54,US,1697936602
299,punta del este,-34.9667,-54.95,292.21,87,0,4.63,UY,1697936905
300,moa,20.6569,-74.9403,300.36,82,100,2.82,CU,1697936906
301,edea,3.8,10.1333,296.37,99,100,0.49,CM,1697936906
302,victorica,-36.2151,-65.4359,289.59,97,38,5.69,AR,1697936906
303,whangarei,-35.7317,174.3239,293.43,54,0,4.29,NZ,1697936906
304,arteche,12.2645,125.4048,302.28,74,99,2.17,PH,1697936907
305,ulladulla,-35.35,150.4667,295.8,23,100,6.47,AU,1697936907
306,flying fish cove,-10.4217,105.6791,299.97,73,40,4.63,CX,1697936907
307,pagar alam,-4.0167,103.2667,297.63,72,95,1.02,ID,1697936907
308,maceio,-9.6658,-35.7353,296.84,100,75,0.0,BR,1697936762
309,oranjemund,-28.55,16.4333,288.96,82,55,2.88,,1697936908
310,klaksvik,62.2266,-6.589,279.66,74,100,12.58,FO,1697936908
311,mount gambier,-37.8333,140.7667,284.43,80,100,6.33,AU,1697936908
312,fort abbas,29.1925,72.8536,297.57,51,100,4.0,PK,1697936908
313,maardu,59.4767,25.025,274.15,85,100,5.14,EE,1697936668
314,sao francisco,-15.9486,-44.8644,300.99,50,87,3.56,BR,1697936630
315,enewetak,11.3474,162.3373,301.77,73,97,4.73,MH,1697936909
316,el calafate,-50.3408,-72.2768,279.17,65,100,4.23,AR,1697936826
317,carnarvon,-24.8667,113.6333,297.68,62,65,7.62,AU,1697936910
318,kapuskasing,49.4169,-82.4331,275.08,80,49,3.6,CA,1697936910
